"CpG_pos","Coefficient","CpG_pos_hg19"
"chr10:81969399:81969400",0.040316559,"chr10:83729155:83729156"
"chr18:22167467:22167468",0.040269557,"chr18:19747428:19747429"
"chr1:59927113:59927114",-0.040197715,"chr1:60392785:60392786"
"chr10:22323229:22323230",-0.040181325,"chr10:22612158:22612159"
"chr2:163603858:163603859",0.040174103,"chr2:164460368:164460369"
"chr12:106303809:106303810",-0.040169955,"chr12:106697587:106697588"
"chr2:66424190:66424191",-0.040168439,"chr2:66651322:66651323"
"chr10:22323868:22323869",-0.040142337,"chr10:22612797:22612798"
"chr2:48576995:48576996",-0.040112052,"chr2:48804134:48804135"
"chr17:67360078:67360079",0.040104219,"chr17:65356194:65356195"
"chr7:13899741:13899742",0.040065677,"chr7:13939366:13939367"
"chr9:71767118:71767119",-0.040058933,"chr9:74382034:74382035"
"chr5:64166707:64166708",-0.040054352,"chr5:63462534:63462535"
"chr20:25261681:25261682",0.040001543,"chr20:25242317:25242318"
"chr1:36196469:36196470",-0.040000214,"chr1:36662070:36662071"
"chr8:104891359:104891360",0.039989978,"chr8:105903587:105903588"
"chr15:22716255:22716256",-0.039941652,"chr15:23156840:23156841"
"chr3:26105867:26105868",-0.03992939,"chr3:26147358:26147359"
"chr6:139954011:139954012",0.039777285,"chr6:140275148:140275149"
"chr6:85645172:85645173",0.039735323,"chr6:86354890:86354891"
"chr1:239547746:239547747",-0.039697495,"chr1:239711046:239711047"
"chr3:71429738:71429739",-0.039684614,"chr3:71478889:71478890"
"chr2:10753445:10753446",0.0396758,"chr2:10893571:10893572"
"chr3:71375063:71375064",0.039657181,"chr3:71424214:71424215"
"chr14:79712024:79712025",0.039646262,"chr14:80178367:80178368"
"chr6:165885186:165885187",0.03962713,"chr6:166298674:166298675"
"chr1:169224769:169224770",0.039611841,"chr1:169194007:169194008"
"chr16:63029483:63029484",-0.039609288,"chr16:63063387:63063388"
"chr21:38072346:38072347",0.039570515,"chr21:39444440:39444441"
"chr4:3355459:3355460",-0.039530491,"chr4:3357186:3357187"
"chr8:38277340:38277341",-0.039500598,"chr8:38134858:38134859"
"chr18:44224372:44224373",-0.039495143,"chr18:41804337:41804338"
"chr4:42492992:42492993",0.039475699,"chr4:42495009:42495010"
"chr2:115553561:115553562",-0.039398757,"chr2:116311137:116311138"
"chr10:7088336:7088337",-0.03935484,"chr10:7130298:7130299"
"chr9:38623174:38623175",0.039354057,"chr9:38623171:38623172"
"chr2:61694287:61694288",-0.039339825,"chr2:61921422:61921423"
"chr3:191897151:191897152",-0.039224099,"chr3:191614940:191614941"
"chr12:32957539:32957540",-0.039151524,"chr12:33110473:33110474"
"chr3:151454043:151454044",0.039117668,"chr3:151171831:151171832"
"chr8:26513219:26513220",0.039055089,"chr8:26370735:26370736"
"chr1:113392261:113392262",-0.03904386,"chr1:113934883:113934884"
"chr7:39966428:39966429",0.03900142,"chr7:40006027:40006028"
"chr3:141293904:141293905",-0.038996673,"chr3:141012746:141012747"
"chr8:101197533:101197534",0.038987175,"chr8:102209761:102209762"
"chr1:101444939:101444940",-0.038964999,"chr1:101910495:101910496"
"chr9:21967891:21967892",0.038908732,"chr9:21967890:21967891"
"chr1:201553568:201553569",-0.038903591,"chr1:201522696:201522697"
"chr5:40754866:40754867",-0.038833399,"chr5:40754968:40754969"
"chr6:134140633:134140634",-0.038782618,"chr6:134461771:134461772"
"chr1:171479955:171479956",0.038774428,"chr1:171449094:171449095"
"chr12:101983371:101983372",-0.038768517,"chr12:102377149:102377150"
"chr4:25291697:25291698",-0.038742023,"chr4:25293319:25293320"
"chr7:139053528:139053529",0.038699447,"chr7:138738274:138738275"
"chr19:9674493:9674494",0.038698184,"chr19:9785169:9785170"
"chr4:145908038:145908039",0.038643702,"chr4:146829190:146829191"
"chr12:49189649:49189650",-0.03860333,"chr12:49583432:49583433"
"chr1:93272611:93272612",0.03857035,"chr1:93738168:93738169"
"chr5:135029745:135029746",0.038568814,"chr5:134365435:134365436"
"chr18:11785783:11785784",0.038539179,"chr18:11785782:11785783"
"chr4:148426986:148426987",0.03853541,"chr4:149348138:149348139"
"chr6:50714130:50714131",0.038515427,"chr6:50681843:50681844"
"chr2:163616427:163616428",0.038475891,"chr2:164472937:164472938"
"chr20:2799750:2799751",0.038451578,"chr20:2780396:2780397"
"chr10:71182447:71182448",-0.038409999,"chr10:72942204:72942205"
"chr2:163600914:163600915",0.038387248,"chr2:164457424:164457425"
"chr21:16792165:16792166",-0.038365487,"chr21:18164484:18164485"
"chr5:79847678:79847679",-0.038356206,"chr5:79143501:79143502"
"chr5:61808321:61808322",-0.038325353,"chr5:61104148:61104149"
"chr4:48212423:48212424",0.038286704,"chr4:48214440:48214441"
"chr2:233772728:233772729",-0.038279801,"chr2:234681374:234681375"
"chr4:35054383:35054384",-0.038275497,"chr4:35056005:35056006"
"chr1:229140451:229140452",-0.038176728,"chr1:229276198:229276199"
"chr19:52536743:52536744",0.038090482,"chr19:53039996:53039997"
"chr18:50622892:50622893",-0.038059549,"chr18:48149262:48149263"
"chr6:79079491:79079492",0.038003796,"chr6:79789208:79789209"
"chr1:35930018:35930019",-0.037993459,"chr1:36395619:36395620"
"chr2:47885207:47885208",0.037975132,"chr2:48112346:48112347"
"chr2:2057505:2057506",-0.03796563,"chr2:2061277:2061278"
"chr6:57961660:57961661",0.037904519,"chr6:58287938:58287939"
"chr12:95821254:95821255",-0.037898742,"chr12:96215032:96215033"
"chr1:218988747:218988748",0.037845664,"chr1:219162089:219162090"
"chr19:17935771:17935772",-0.037842389,"chr19:18046580:18046581"
"chr1:74255120:74255121",0.037841796,"chr1:74720804:74720805"
"chr11:50217856:50217857",-0.037819152,"chr11:50177027:50177028"
"chr18:7566567:7566568",0.037813493,"chr18:7566565:7566566"
"chr9:124734254:124734255",0.037795769,"chr9:127496533:127496534"
"chr5:141364781:141364782",0.037776806,"chr5:140744348:140744349"
"chr7:25391488:25391489",-0.037760035,"chr7:25431107:25431108"
"chr5:181208945:181208946",0.037756813,"chr5:180635945:180635946"
"chr20:42516767:42516768",-0.03775029,"chr20:41145407:41145408"
"chr1:212702759:212702760",-0.037721049,"chr1:212876101:212876102"
"chr15:41158466:41158467",0.037695947,"chr15:41450664:41450665"
"chr2:127878499:127878500",0.037651826,"chr2:128636073:128636074"
"chr6:99346533:99346534",0.037604984,"chr6:99794409:99794410"
"chr5:51381892:51381893",0.037597057,"chr5:50677726:50677727"
"chr9:14913116:14913117",0.037589806,"chr9:14913114:14913115"
"chr3:101373469:101373470",0.037582947,"chr3:101092313:101092314"
"chr1:234401239:234401240",-0.037571447,"chr1:234536985:234536986"
"chr12:21250912:21250913",-0.037541498,"chr12:21403846:21403847"
"chr4:142568768:142568769",-0.037470327,"chr4:143489921:143489922"
"chr2:189584383:189584384",-0.037435046,"chr2:190449109:190449110"
"chr12:54361293:54361294",-0.037382581,"chr12:54755077:54755078"
"chr6:158735807:158735808",0.037282031,"chr6:159156839:159156840"
"chr3:37170799:37170800",-0.037275577,"chr3:37212290:37212291"
"chr2:22168538:22168539",-0.037242358,"chr2:22391410:22391411"
"chr11:38805963:38805964",-0.037233005,"chr11:38827513:38827514"
"chr9:83786822:83786823",0.037198682,"chr9:86401737:86401738"
"chr7:131323855:131323856",-0.037171896,"chr7:131008614:131008615"
"chr3:11393171:11393172",-0.037159054,"chr3:11434645:11434646"
"chr4:70974355:70974356",0.037138517,"chr4:71840072:71840073"
"chr12:81204031:81204032",0.037135065,"chr12:81597810:81597811"
"chr2:66360951:66360952",-0.037012712,"chr2:66588083:66588084"
"chr16:23801261:23801262",-0.036987134,"chr16:23812582:23812583"
"chr10:74387177:74387178",-0.036975783,"chr10:76146935:76146936"
"chr14:102621695:102621696",0.036973212,"chr14:103088032:103088033"
"chr1:186870463:186870464",0.036834799,"chr1:186839595:186839596"
"chr18:74185629:74185630",-0.036831045,"chr18:71852864:71852865"
"chr11:40859842:40859843",-0.03682198,"chr11:40881392:40881393"
"chr3:168230833:168230834",-0.036787984,"chr3:167948621:167948622"
"chr7:103454630:103454631",-0.036743222,"chr7:103095077:103095078"
"chr12:123480229:123480230",-0.036683497,"chr12:123964776:123964777"
"chr2:158388516:158388517",-0.036679099,"chr2:159245028:159245029"
"chr14:30065187:30065188",-0.03663763,"chr14:30534393:30534394"
"chr9:31310571:31310572",0.036594508,"chr9:31310569:31310570"
"chr4:177428332:177428333",0.036587009,"chr4:178349486:178349487"
"chr4:97073072:97073073",-0.036584827,"chr4:97994223:97994224"
"chr4:128696308:128696309",0.036568812,"chr4:129617463:129617464"
"chr3:154324989:154324990",-0.036512483,"chr3:154042778:154042779"
"chr12:66763807:66763808",-0.036508778,"chr12:67157587:67157588"
"chr21:34526677:34526678",-0.036463166,"chr21:35898975:35898976"
"chr8:109617273:109617274",0.036415325,"chr8:110629502:110629503"
"chr3:142987127:142987128",-0.036412685,"chr3:142705969:142705970"
"chr3:107672297:107672298",0.036348786,"chr3:107391144:107391145"
"chr12:5388357:5388358",-0.036317109,"chr12:5497523:5497524"
"chr5:136511209:136511210",-0.036254783,"chr5:135846898:135846899"
"chr5:11430914:11430915",-0.036239005,"chr5:11431026:11431027"
"chr1:207823672:207823673",-0.036223813,"chr1:207997017:207997018"
"chr7:71236733:71236734",0.036201641,"chr7:70701719:70701720"
"chr9:118059714:118059715",0.036131908,"chr9:120821992:120821993"
"chr7:131915213:131915214",-0.036098978,"chr7:131599972:131599973"
"chr8:90082422:90082423",0.036096017,"chr8:91094650:91094651"
"chr6:35482732:35482733",-0.036080319,"chr6:35450509:35450510"
"chr16:50323677:50323678",-0.036073067,"chr16:50357588:50357589"
"chr2:146015430:146015431",-0.036071132,"chr2:146772998:146772999"
"chr8:80613258:80613259",-0.036009998,"chr8:81525493:81525494"
"chr5:88208170:88208171",0.03598975,"chr5:87503987:87503988"
"chr4:84494218:84494219",0.035951228,"chr4:85415371:85415372"
"chr11:76564768:76564769",-0.035936985,"chr11:76275812:76275813"
"chr4:111944165:111944166",-0.035907076,"chr4:112865321:112865322"
"chr3:169665773:169665774",-0.035890602,"chr3:169383561:169383562"
"chr9:15085944:15085945",0.035873315,"chr9:15085942:15085943"
"chr6:158819742:158819743",0.035847764,"chr6:159240774:159240775"
"chr7:3789394:3789395",0.035840951,"chr7:3829026:3829027"
"chr4:168453173:168453174",0.03581967,"chr4:169374324:169374325"
"chr12:116662332:116662333",-0.035819443,"chr12:117100137:117100138"
"chr5:142505443:142505444",0.035802249,"chr5:141885008:141885009"
"chr16:77968681:77968682",0.035751646,"chr16:78002578:78002579"
"chr3:161225485:161225486",0.035709355,"chr3:160943273:160943274"
"chr12:21775776:21775777",-0.035702917,"chr12:21928710:21928711"
"chr3:195265284:195265285",0.03559282,"chr3:194986013:194986014"
"chr5:94021619:94021620",-0.035514936,"chr5:93357324:93357325"
"chr14:64609455:64609456",0.035500274,"chr14:65076173:65076174"
"chr22:29234370:29234371",-0.035497489,"chr22:29630359:29630360"
"chr5:151924578:151924579",0.035489652,"chr5:151304139:151304140"
"chr17:56862441:56862442",-0.035440493,"chr17:54939802:54939803"
"chr5:76991090:76991091",0.035434444,"chr5:76286915:76286916"
"chr6:106602950:106602951",0.035401702,"chr6:107050825:107050826"
"chr7:44888867:44888868",0.035390596,"chr7:44928466:44928467"
"chr2:228769508:228769509",-0.035349038,"chr2:229634224:229634225"
"chr15:98568840:98568841",-0.035334705,"chr15:99112069:99112070"
"chr5:64165389:64165390",-0.03528588,"chr5:63461216:63461217"
"chr3:100355366:100355367",-0.035280486,"chr3:100074210:100074211"
"chr4:185484507:185484508",-0.035275261,"chr4:186405661:186405662"
"chr17:66305150:66305151",-0.035226878,"chr17:64301268:64301269"
"chr11:77824223:77824224",0.035183599,"chr11:77535269:77535270"
"chr11:82732394:82732395",0.035169058,"chr11:82443436:82443437"
"chr11:77050757:77050758",-0.035090876,"chr11:76761804:76761805"
"chr4:183471917:183471918",-0.035083175,"chr4:184393070:184393071"
"chr2:174067431:174067432",-0.035066331,"chr2:174932159:174932160"
"chr5:88673085:88673086",0.035064482,"chr5:87968903:87968904"
"chr6:47607428:47607429",0.035054579,"chr6:47575164:47575165"
"chr13:67232956:67232957",-0.035019336,"chr13:67807088:67807089"
"chr2:109046235:109046236",0.035012742,"chr2:109662691:109662692"
"chr20:54200168:54200169",-0.035009034,"chr20:52816707:52816708"
"chr17:13402979:13402980",-0.035006321,"chr17:13306296:13306297"
"chr6:21140308:21140309",0.034985674,"chr6:21140539:21140540"
"chr8:87905784:87905785",-0.034980922,"chr8:88918012:88918013"
"chr3:7303757:7303758",-0.034818582,"chr3:7345444:7345445"
"chr2:163600792:163600793",0.034783779,"chr2:164457302:164457303"
"chr5:160440002:160440003",-0.034767155,"chr5:159867009:159867010"
"chr15:33286505:33286506",0.034742819,"chr15:33578706:33578707"
"chr3:42573103:42573104",-0.034724384,"chr3:42614595:42614596"
"chr4:110623984:110623985",0.034719389,"chr4:111545140:111545141"
"chr4:38177967:38177968",0.034585373,"chr4:38179588:38179589"
"chr19:42264056:42264057",0.034577611,"chr19:42768208:42768209"
"chr15:85422156:85422157",0.034438988,"chr15:85965387:85965388"
"chr8:37063123:37063124",-0.034438478,"chr8:36920641:36920642"
"chr12:65099873:65099874",-0.034425826,"chr12:65493653:65493654"
"chr3:2172232:2172233",-0.034383462,"chr3:2213916:2213917"
"chr19:922218:922219",-0.034366789,"chr19:922218:922219"
"chr1:53916359:53916360",-0.034364252,"chr1:54382032:54382033"
"chr15:33449425:33449426",-0.034354701,"chr15:33741626:33741627"
"chr14:34563927:34563928",0.034329778,"chr14:35033133:35033134"
"chr3:137558056:137558057",0.034265269,"chr3:137276898:137276899"
"chr11:6668615:6668616",-0.034205015,"chr11:6689846:6689847"
"chr17:40665445:40665446",0.034171872,"chr17:38821697:38821698"
"chr7:93992732:93992733",0.034164069,"chr7:93622044:93622045"
"chr21:37447899:37447900",0.034159488,"chr21:38820201:38820202"
"chr7:23475169:23475170",0.03415243,"chr7:23514788:23514789"
"chr4:86842414:86842415",-0.034142454,"chr4:87763567:87763568"
"chr8:29127428:29127429",-0.034135067,"chr8:28984945:28984946"
"chr2:163727898:163727899",-0.034130901,"chr2:164584408:164584409"
"chr18:62252698:62252699",0.034123906,"chr18:59919931:59919932"
"chr2:235605911:235605912",0.034113942,"chr2:236514555:236514556"
"chr7:42968074:42968075",0.034110642,"chr7:43007673:43007674"
"chr4:172052587:172052588",-0.034097804,"chr4:172973738:172973739"
"chr11:4194818:4194819",-0.034075252,"chr11:4216048:4216049"
"chr9:4122556:4122557",-0.034062558,"chr9:4122556:4122557"
"chr2:172903718:172903719",-0.034057291,"chr2:173768446:173768447"
"chr14:78436280:78436281",0.033999696,"chr14:78902623:78902624"
"chr15:73637347:73637348",-0.033995934,"chr15:73929688:73929689"
"chr4:106983571:106983572",0.033956765,"chr4:107904728:107904729"
"chr9:37052832:37052833",0.033953698,"chr9:37052829:37052830"
"chr10:68474228:68474229",-0.033921563,"chr10:70233985:70233986"
"chr14:95100437:95100438",-0.033913981,"chr14:95566774:95566775"
"chr21:36701933:36701934",0.033897446,"chr21:38074233:38074234"
"chr10:25966962:25966963",0.033878388,"chr10:26255891:26255892"
"chr5:88679303:88679304",0.033845361,"chr5:87975120:87975121"
"chr10:104979360:104979361",-0.033837351,"chr10:106739118:106739119"
"chr17:66712449:66712450",0.033798303,"chr17:64708567:64708568"
"chr10:86852598:86852599",0.03379335,"chr10:88612355:88612356"
"chr20:53688950:53688951",0.033769538,"chr20:52305489:52305490"
"chr12:52325902:52325903",-0.033768507,"chr12:52719686:52719687"
"chr10:119819019:119819020",0.033727712,"chr10:121578531:121578532"
"chr13:99895847:99895848",0.03370913,"chr13:100548101:100548102"
"chr1:165267739:165267740",0.03365919,"chr1:165236976:165236977"
"chr14:79712057:79712058",0.033655292,"chr14:80178400:80178401"
"chr14:64542513:64542514",0.033646635,"chr14:65009231:65009232"
"chr7:13919261:13919262",-0.033593948,"chr7:13958886:13958887"
"chr2:228474067:228474068",0.033548158,"chr2:229338783:229338784"
"chr16:84065720:84065721",0.033528916,"chr16:84099325:84099326"
"chr10:125936494:125936495",-0.033471533,"chr10:127625063:127625064"
"chr13:67235618:67235619",-0.033466059,"chr13:67809750:67809751"
"chr4:163447432:163447433",-0.033458863,"chr4:164368584:164368585"
"chr12:47652334:47652335",-0.033451557,"chr12:48046117:48046118"
"chr2:168250783:168250784",0.033449071,"chr2:169107293:169107294"
"chr1:187704790:187704791",0.033446323,"chr1:187673921:187673922"
"chr15:84982967:84982968",-0.033425938,"chr15:85526198:85526199"
"chr1:90336762:90336763",-0.033393295,"chr1:90802320:90802321"
"chr1:239805790:239805791",-0.033378887,"chr1:239969090:239969091"
"chr7:78771252:78771253",0.033350895,"chr7:78400568:78400569"
"chr7:122629319:122629320",0.033348544,"chr7:122269373:122269374"
"chr4:41748029:41748030",0.033333052,"chr4:41750046:41750047"
"chr6:85458623:85458624",-0.033320575,"chr6:86168341:86168342"
"chr1:173020354:173020355",-0.033254033,"chr1:172989494:172989495"
"chr2:127887172:127887173",-0.033249108,"chr2:128644746:128644747"
"chr2:64645408:64645409",0.033226477,"chr2:64872542:64872543"
"chr1:199846912:199846913",0.033175793,"chr1:199816040:199816041"
"chr13:35471710:35471711",0.033141941,"chr13:36045847:36045848"
"chr22:40372287:40372288",-0.0331134,"chr22:40768291:40768292"
"chr17:50334014:50334015",-0.033099553,"chr17:48411375:48411376"
"chr15:86650523:86650524",0.033091507,"chr15:87193754:87193755"
"chr1:75614522:75614523",0.033010508,"chr1:76080207:76080208"
"chr2:66427151:66427152",-0.032951772,"chr2:66654283:66654284"
"chr2:163758125:163758126",0.032937107,"chr2:164614635:164614636"
"chr9:109639582:109639583",-0.032917346,"chr9:112401862:112401863"
"chr1:38934085:38934086",-0.032891719,"chr1:39399757:39399758"
"chr14:36200442:36200443",-0.032851455,"chr14:36669648:36669649"
"chr20:48381973:48381974",0.032843777,"chr20:47010716:47010717"
"chr2:5375267:5375268",0.032831176,"chr2:5515400:5515401"
"chr8:109159323:109159324",-0.032826334,"chr8:110171552:110171553"
"chr14:70041213:70041214",-0.032811679,"chr14:70507930:70507931"
"chr11:125903621:125903622",0.032801443,"chr11:125773516:125773517"
"chr7:155252768:155252769",-0.032781434,"chr7:155044478:155044479"
"chr15:94525881:94525882",0.032760498,"chr15:95069110:95069111"
"chr9:122228132:122228133",0.032759359,"chr9:124990411:124990412"
"chr4:155789672:155789673",-0.032724016,"chr4:156710824:156710825"
"chr7:157031130:157031131",-0.032683911,"chr7:156823824:156823825"
"chr1:218161155:218161156",-0.032661625,"chr1:218334497:218334498"
"chr12:114438711:114438712",0.03264093,"chr12:114876516:114876517"
"chr5:64503550:64503551",-0.032640363,"chr5:63799377:63799378"
"chr2:170790752:170790753",-0.032585494,"chr2:171647262:171647263"
"chr12:74307878:74307879",0.032556867,"chr12:74701658:74701659"
"chr5:141392584:141392585",0.032549291,"chr5:140772151:140772152"
"chr3:147408940:147408941",0.032522372,"chr3:147126727:147126728"
"chr6:26327498:26327499",0.032502307,"chr6:26327726:26327727"
"chr20:16520997:16520998",0.032483591,"chr20:16501642:16501643"
"chr3:154324825:154324826",-0.032465644,"chr3:154042614:154042615"
"chr17:50774163:50774164",0.032443743,"chr17:48851524:48851525"
"chr3:89253037:89253038",-0.032435316,"chr3:89302187:89302188"
"chr8:129367809:129367810",0.032408666,"chr8:130380055:130380056"
"chr1:166652795:166652796",0.032375973,"chr1:166622032:166622033"
"chr5:60035242:60035243",-0.032351313,"chr5:59331069:59331070"
"chr17:12227784:12227785",0.032329248,"chr17:12131101:12131102"
"chr19:45927681:45927682",0.032296577,"chr19:46430939:46430940"
"chr3:111940321:111940322",-0.032283764,"chr3:111659168:111659169"
"chr9:100011100:100011101",0.03227622,"chr9:102773382:102773383"
"chr5:7393646:7393647",0.032266101,"chr5:7393759:7393760"
"chr9:71289696:71289697",0.032261353,"chr9:73904612:73904613"
"chr20:42714546:42714547",-0.032244458,"chr20:41343186:41343187"
"chr13:77696702:77696703",-0.032242794,"chr13:78270837:78270838"
"chr16:88660473:88660474",0.032239592,"chr16:88726881:88726882"
"chr12:22306276:22306277",0.032151822,"chr12:22459210:22459211"
"chr6:70376912:70376913",-0.032150809,"chr6:71086615:71086616"
"chr17:54929045:54929046",0.032128346,"chr17:53006406:53006407"
"chr7:123128831:123128832",0.032112997,"chr7:122768885:122768886"
"chr2:112642795:112642796",-0.03203915,"chr2:113400372:113400373"
"chr13:28538894:28538895",0.03200124,"chr13:29113031:29113032"
"chr3:51707457:51707458",0.031979876,"chr3:51741473:51741474"
"chr10:74391870:74391871",0.031951362,"chr10:76151628:76151629"
"chr15:51495277:51495278",0.031924502,"chr15:51787474:51787475"
"chr5:83385851:83385852",-0.031906737,"chr5:82681670:82681671"
"chr9:118706142:118706143",-0.031856355,"chr9:121468420:121468421"
"chr5:138783231:138783232",0.031836015,"chr5:138118920:138118921"
"chr16:57091372:57091373",0.031819364,"chr16:57125284:57125285"
"chr14:79680363:79680364",0.031785091,"chr14:80146706:80146707"
"chr18:49510401:49510402",0.031746524,"chr18:47036771:47036772"
"chr3:118430934:118430935",-0.031702223,"chr3:118149781:118149782"
"chr6:57548852:57548853",0.031689172,NA
"chr18:31926706:31926707",0.031663238,"chr18:29506669:29506670"
"chr15:94297967:94297968",0.031660305,"chr15:94841196:94841197"
"chr9:1623989:1623990",-0.03164087,"chr9:1623989:1623990"
"chr5:57915884:57915885",0.031597812,"chr5:57211711:57211712"
"chr11:70656977:70656978",0.031537722,"chr11:70503082:70503083"
"chr10:106125640:106125641",-0.031516197,"chr10:107885398:107885399"
"chr6:84773276:84773277",0.031506478,"chr6:85482994:85482995"
"chr2:219325983:219325984",-0.031476841,"chr2:220190705:220190706"
"chr5:42718509:42718510",-0.031474481,"chr5:42718611:42718612"
"chr2:163733820:163733821",-0.031471092,"chr2:164590330:164590331"
"chr6:25556088:25556089",-0.031461751,"chr6:25556316:25556317"
"chr14:100098099:100098100",0.03145673,"chr14:100564436:100564437"
"chr15:34621516:34621517",-0.03144828,"chr15:34913717:34913718"
"chr12:106958379:106958380",0.03142542,"chr12:107352157:107352158"
"chr6:145137559:145137560",-0.031404278,"chr6:145458695:145458696"
"chr19:44093130:44093131",0.031323412,"chr19:44597283:44597284"
"chr12:101983382:101983383",-0.031300871,"chr12:102377160:102377161"
"chr12:109799637:109799638",-0.031296627,"chr12:110237442:110237443"
"chr1:174968539:174968540",-0.031290146,"chr1:174937676:174937677"
"chr2:66427363:66427364",-0.031272214,"chr2:66654495:66654496"
"chr10:75328935:75328936",-0.031242123,"chr10:77088693:77088694"
"chr6:36498541:36498542",0.031233517,"chr6:36466318:36466319"
"chr2:72450303:72450304",0.031230488,"chr2:72677432:72677433"
"chr15:71323618:71323619",-0.03121662,"chr15:71615957:71615958"
"chr19:51711380:51711381",0.031176668,"chr19:52214633:52214634"
"chr11:19240302:19240303",0.031166484,"chr11:19261849:19261850"
"chr3:168039510:168039511",-0.031139788,"chr3:167757298:167757299"
"chr15:70201161:70201162",-0.030969836,"chr15:70493500:70493501"
"chr3:79015238:79015239",0.030960559,"chr3:79064388:79064389"
"chr22:32886423:32886424",-0.030946854,"chr22:33282410:33282411"
"chr10:9836117:9836118",-0.030890506,"chr10:9878080:9878081"
"chr8:137494957:137494958",-0.030884463,"chr8:138507200:138507201"
"chr1:243985601:243985602",-0.03081776,"chr1:244148903:244148904"
"chr10:117541488:117541489",0.030790971,"chr10:119300999:119301000"
"chr10:123487880:123487881",-0.03077997,"chr10:125247396:125247397"
"chr7:122494298:122494299",0.03075401,"chr7:122134352:122134353"
"chr12:47807229:47807230",0.030742829,"chr12:48201012:48201013"
"chr15:95258045:95258046",-0.030712866,"chr15:95801274:95801275"
"chr5:19573712:19573713",-0.03067689,"chr5:19573821:19573822"
"chr20:62879394:62879395",0.03067682,"chr20:61510746:61510747"
"chr10:22318679:22318680",-0.030675544,"chr10:22607608:22607609"
"chr4:124275957:124275958",-0.030674614,"chr4:125197112:125197113"
"chr17:79093487:79093488",-0.030671994,"chr17:77089569:77089570"
"chr18:31598654:31598655",-0.030661125,"chr18:29178617:29178618"
"chr17:13644705:13644706",-0.030658326,"chr17:13548022:13548023"
"chr2:42585522:42585523",0.030654072,"chr2:42812662:42812663"
"chr6:148379386:148379387",-0.030645437,"chr6:148700522:148700523"
"chr5:173219216:173219217",-0.030643792,"chr5:172646219:172646220"
"chr2:163745539:163745540",0.030595951,"chr2:164602049:164602050"
"chr11:61173669:61173670",0.030572899,"chr11:60941141:60941142"
"chr7:43700022:43700023",-0.030565678,"chr7:43739621:43739622"
"chr9:23042806:23042807",-0.03056423,"chr9:23042805:23042806"
"chr6:113857307:113857308",0.030510043,"chr6:114178486:114178487"
"chr3:132974696:132974697",-0.030487394,"chr3:132693540:132693541"
"chr1:59403943:59403944",0.030478248,"chr1:59869615:59869616"
"chr2:53878114:53878115",0.03046911,"chr2:54105251:54105252"
"chr2:74062675:74062676",0.030463393,"chr2:74289802:74289803"
"chr15:92639403:92639404",-0.030449598,"chr15:93182633:93182634"
"chr19:13016522:13016523",0.030437815,"chr19:13127336:13127337"
"chr6:149723589:149723590",-0.030404465,"chr6:150044725:150044726"
"chr6:5166344:5166345",0.030374157,"chr6:5166578:5166579"
"chr3:15066022:15066023",0.030372937,"chr3:15107529:15107530"
"chr16:78564970:78564971",-0.030328918,"chr16:78598867:78598868"
"chr3:861919:861920",-0.030312568,"chr3:903602:903603"
"chr7:48470841:48470842",0.030285103,"chr7:48510438:48510439"
"chr3:117279120:117279121",0.030268695,"chr3:116997967:116997968"
"chr2:62319653:62319654",0.030239944,"chr2:62546788:62546789"
"chr16:48024456:48024457",0.030187932,"chr16:48058367:48058368"
"chr12:74603758:74603759",-0.030177478,"chr12:74997538:74997539"
"chr1:247853592:247853593",-0.030155671,"chr1:248016894:248016895"
"chr19:45499664:45499665",0.030143354,"chr19:46002922:46002923"
"chr8:56064141:56064142",-0.030138815,"chr8:56976700:56976701"
"chr6:125308118:125308119",-0.030125379,"chr6:125629264:125629265"
"chr16:64081949:64081950",-0.030121704,"chr16:64115853:64115854"
"chr19:7598718:7598719",-0.030093571,"chr19:7663604:7663605"
"chr8:109593345:109593346",0.030086694,"chr8:110605574:110605575"
"chr4:119036715:119036716",0.030074972,"chr4:119957870:119957871"
"chr11:9004888:9004889",0.03005216,"chr11:9026435:9026436"
"chr4:189170099:189170100",-0.030042632,"chr4:190091253:190091254"
"chr10:64969282:64969283",0.030006344,"chr10:66729040:66729041"
"chr4:175413014:175413015",0.03000137,"chr4:176334165:176334166"
"chr7:94090431:94090432",-0.02998822,"chr7:93719743:93719744"
"chr13:48232401:48232402",-0.029979462,"chr13:48806537:48806538"
"chr9:28107070:28107071",-0.029963777,"chr9:28107068:28107069"
"chr15:92655025:92655026",-0.029925977,"chr15:93198255:93198256"
"chr2:98730070:98730071",-0.029896005,"chr2:99346533:99346534"
"chr5:175624602:175624603",0.029881104,"chr5:175051605:175051606"
"chr9:89180779:89180780",0.029823031,"chr9:91795694:91795695"
"chr12:46484898:46484899",0.029789453,"chr12:46878681:46878682"
"chr1:154837262:154837263",-0.029774898,"chr1:154809738:154809739"
"chr8:23727438:23727439",0.029766989,"chr8:23584951:23584952"
"chr15:58872466:58872467",-0.029764238,"chr15:59164665:59164666"
"chr8:98773889:98773890",0.0297312,"chr8:99786117:99786118"
"chr15:53602685:53602686",-0.029726842,"chr15:53894882:53894883"
"chr14:38407082:38407083",-0.029726067,"chr14:38876286:38876287"
"chr3:33654075:33654076",0.029650639,"chr3:33695567:33695568"
"chr12:54360214:54360215",-0.029650091,"chr12:54753998:54753999"
